id,,,,,,,,,,,,,,,,,,,
1993206484598657024,H-C-05_21_08_LJ,,,,,,,,,,,,,,,,,,
1993206078107684864,H-C-06_06_15_LJ,,,,,,,,,,,,,,,,,,
1993206038534426624,H-C-06_28_03_LJ,,,,,,,,,,,,,,,,,,
1993206233003331584,H-C-01_08_03_LJ,,,,,,,,,,,,,,,,,,
1993206119094423552,H-C-05_37_06_LJ,,,,,,,,,,,,,,,,,,
1993206191823654912,H-C-06_34_08_LJ,,,,,,,,,,,,,,,,,,
1993206176162123776,H-C-06_34_05_LJ,,,,,,,,,,,,,,,,,,
1993206128942649344,H-C-06_28_13_LJ,,,,,,,,,,,,,,,,,,
1993206502487363584,H-C-05_29_04_LJ,,,,,,,,,,,,,,,,,,
1993206295183888384,H-C-03_02_07_LJ,,,,,,,,,,,,,,,,,,
1993206196756156416,H-C-06_34_12_LJ,,,,,,,,,,,,,,,,,,
1993206237663203328,H-C-01_08_04_LJ,,,,,,,,,,,,,,,,,,
1993206058226683904,H-C-06_04_08_LJ,,,,,,,,,,,,,,,,,,
1993206356324257792,H-C-05_03_04_LJ,,,,,,,,,,,,,,,,,,
1993206124458938368,H-C-07_03_01_LJ,,,,,,,,,,,,,,,,,,
1993206394567921664,H-C-03_25_05_LJ,,,,,,,,,,,,,,,,,,
1993206053327736832,H-C-06_04_04_LJ,,,,,,,,,,,,,,,,,,
1993206244940320768,H-C-01_08_06_LJ,,,,,,,,,,,,,,,,,,
1993206460225556480,H-C-05_17_14_LJ,,,,,,,,,,,,,,,,,,
1993206377551630336,H-C-03_15_02_LJ,,,,,,,,,,,,,,,,,,
1993206404873326592,H-C-02_25_07_LJ,,,,,,,,,,,,,,,,,,
1993206476939857920,H-C-05_19_14_LJ,,,,,,,,,,,,,,,,,,
1993206372111618048,H-C-03_14_11_LJ,,,,,,,,,,,,,,,,,,
1993206227219386368,H-C-01_07_05_LJ,,,,,,,,,,,,,,,,,,
1993206324229443584,H-C-03_12_08_LJ,,,,,,,,,,,,,,,,,,
1993206449987260416,H-C-05_11_05_LJ,,,,,,,,,,,,,,,,,,
1993206445486772224,H-C-05_11_02_LJ,,,,,,,,,,,,,,,,,,
1993206490063835136,H-C-05_22_12_LJ,,,,,,,,,,,,,,,,,,
1993206042535792640,H-C-06_01_08_LJ,,,,,,,,,,,,,,,,,,
1993206274300448768,H-C-03_02_01_LJ,,,,,,,,,,,,,,,,,,
1993206107908214784,H-C-07_24_14_LJ,,,,,,,,,,,,,,,,,,
1993206134017757184,H-C-06_30_12_LJ,,,,,,,,,,,,,,,,,,
1993206258827661312,H-C-01_14_12_LJ,,,,,,,,,,,,,,,,,,
1993206268805910528,H-C-01_17_05_LJ,,,,,,,,,,,,,,,,,,
1993206431649763328,H-C-05_08_04_LJ,,,,,,,,,,,,,,,,,,
1993206210173734912,H-C-06_40_07_LJ,,,,,,,,,,,,,,,,,,
1993206362049482752,H-C-05_03_07_LJ,,,,,,,,,,,,,,,,,,
1993206289647407104,H-C-03_02_06_LJ,,,,,,,,,,,,,,,,,,
1993206415430389760,H-C-02_10_05_LJ,,,,,,,,,,,,,,,,,,
1993206409302511616,H-C-02_10_02_LJ,,,,,,,,,,,,,,,,,,
1993206253559615488,H-C-01_11_06_LJ,,,,,,,,,,,,,,,,,,
1993206254914375680,H-C-01_13_08_LJ,,,,,,,,,,,,,,,,,,
1993206074412503040,H-C-06_04_15_LJ,,,,,,,,,,,,,,,,,,
1993206262820638720,H-C-01_16_10_LJ,,,,,,,,,,,,,,,,,,
1990302604437098496,H-D-09_S_04_03_LJ,,,,,,,,,,,,,,,,,,
1982754987909976064,H-C-03_S_12_01,,,,,,,,,,,,,,,,,,
1990302305609715712,H-C-06_S_01_02,,,,,,,,,,,,,,,,,,
1982763223765618688,H-C-02_S_03_01,,,,,,,,,,,,,,,,,,
1982757922052116480,H-C-02_S_01_01,,,,,,,,,,,,,,,,,,
1982756148809437184,H-C-01_S_03_01,,,,,,,,,,,,,,,,,,
1986319701323681792,H-C-03_S_01_02,,,,,,,,,,,,,,,,,,
1982760369755656192,H-C-03_S_16_01,,,,,,,,,,,,,,,,,,
1982763748997337088,H-C-03_S_09_01,,,,,,,,,,,,,,,,,,
1990302211124629504,H-K-08_S_03_01_LJ,,,,,,,,,,,,,,,,,,
1982760060731920384,H-C-03_S_15_01,,,,,,,,,,,,,,,,,,
1982761152911904768,C-R-01_S_03_01,,,,,,,,,,,,,,,,,,
1982762294760837120,H-C-03_S_03_01,,,,,,,,,,,,,,,,,,
1982750898169974784,H-C-03_S_18_01,,,,,,,,,,,,,,,,,,
1982750280973946880,H-K-01_S_04_01,,,,,,,,,,,,,,,,,,
1988510338227769344,H-C-03_S_11_03,,,,,,,,,,,,,,,,,,
1990302365110112256,H-C-09_S_03_01_LJ,,,,,,,,,,,,,,,,,,
1982765238390493184,H-K-05_S_01_01,,,,,,,,,,,,,,,,,,
1988154017930416128,L-H-01_S_01_01,,,,,,,,,,,,,,,,,,
1982762519923658752,H-C-03_S_04_01,,,,,,,,,,,,,,,,,,
1988154006060535808,L-H-03_S_01_01,,,,,,,,,,,,,,,,,,
1990302301432188928,H-C-05_S_02_05_LJ,,,,,,,,,,,,,,,,,,
1988154050205585408,H-D-04_S_03_01,,,,,,,,,,,,,,,,,,
1981934015778787328,H-C-08_short_8,,,,,,,,,,,,,,,,,,
1990302558681436160,H-D-06_S_06_05_LJ,,,,,,,,,,,,,,,,,,
1981932425776861184,H-C-05_short_5,,,,,,,,,,,,,,,,,,
1982761694270722048,H-C-03_S_01_01,,,,,,,,,,,,,,,,,,
1982764046495125504,H-K-02_S_01_01,,,,,,,,,,,,,,,,,,
1982755366227808256,H-C-01_S_01_01,,,,,,,,,,,,,,,,,,
1982764952183771136,H-K-01_S_02_01,,,,,,,,,,,,,,,,,,
1981932874605137920,H-C-07_short_7,,,,,,,,,,,,,,,,,,
1982753570830815232,H-C-03_S_20_01,,,,,,,,,,,,,,,,,,
1982751297719373824,H-C-03_S_21_01,,,,,,,,,,,,,,,,,,
1986089025332711424,C-O-01_S_03_01,,,,,,,,,,,,,,,,,,
1992072545624526848,H-D-02_S_03_01,,,,,,,,,,,,,,,,,,
1988163573813219328,I-R-03_S_02_01,,,,,,,,,,,,,,,,,,
1990307187645353984,H-C-03_S_04_04_LJ,,,,,,,,,,,,,,,,,,
1982758289548644352,H-C-03_S_07_01,,,,,,,,,,,,,,,,,,
1982762824123944960,H-C-02_S_02_01,,,,,,,,,,,,,,,,,,
